Date,Open,High,Low,Close,Volume
2024-03-18,24882.79384933741,25189.21344267282,24737.737722875914,25127.591796875,92583
2024-03-19,25127.589449152478,25232.43977058632,24585.789201084295,24792.712890625,16822
2024-03-20,24975.4957319843,24975.4957319843,24638.585843909626,24723.705078125,18326
2024-03-21,24975.595765535927,25183.907939576915,24715.478111579865,25145.63671875,17006
2024-03-22,25182.918904435046,25273.094375918292,25017.33965103764,25150.25,12712
2024-03-26,25257.27810401067,25568.6067263181,24845.163889122698,25465.640625,38595
2024-03-27,25607.572407364263,26110.011180480367,25530.929270329892,25718.66796875,27139
2024-03-28,25869.029594545667,25869.029594545667,25367.334413263226,25464.3515625,26276
2024-04-01,25630.13112066864,26260.472468848275,25580.506147124688,26232.908203125,20317
2024-04-02,26232.90675145723,26495.2552615187,25810.829197989962,26307.169921875,41507
2024-04-03,26374.692224170005,26515.782382762827,26061.47935336705,26130.091796875,150756
2024-04-04,26243.81478967964,26243.81478967964,25631.072429181622,25689.818359375,85718
2024-04-05,25580.504171768724,25717.27977509146,25480.363438383116,25591.4609375,39306
2024-04-08,25847.41294630478,26026.62519792946,25624.52661628613,25734.3828125,31828
2024-04-09,25976.11028590597,26484.54838081221,25659.922961309858,25770.673828125,50143
2024-04-10,25778.805123730966,25820.397459702082,25333.624989094227,25392.123046875,24321
2024-04-12,25480.364521955344,25641.67956927965,24987.046677897844,25274.283203125,19756
2024-04-15,25100.62255924996,25310.96806726369,24789.293933732326,25080.990234375,24121
2024-04-16,25033.398994609164,25033.398994609164,24587.575962015184,24670.861328125,12999
2024-04-18,24876.54500487165,24885.468436718755,24159.695979820943,24218.044921875,35792
2024-04-19,24182.500855187227,24323.738180084423,23780.00526971841,24161.431640625,35614
2024-04-22,24325.177872981993,24465.077075359397,24149.633353851947,24188.84765625,25584
2024-04-23,24360.967926855687,24360.967926855687,24093.264982604527,24170.353515625,18872
2024-04-24,24291.566485707106,24388.633989700735,24093.267983782967,24161.830078125,17535
2024-04-25,24242.984018849125,24291.567153155436,23577.692526613726,23767.662109375,48298
2024-04-26,23835.47805749156,24088.308627568946,23747.235231072395,23935.123046875,15713
2024-04-29,24043.939844448254,24089.20186220325,23845.39348084991,23939.734375,25281
2024-04-30,23969.330904955616,24812.04917079335,23969.330904955616,24236.884765625,74531
2024-05-02,24291.516493335028,25156.694419147076,24263.95416306795,24615.982421875,98202
2024-05-03,24787.310329948625,25675.490008294793,24715.824114258776,25527.509765625,221844
2024-05-06,25877.954421831557,26335.67732479763,24891.41937778089,25319.744140625,51843
2024-05-07,25357.421454199874,25662.355756398298,24841.69622742979,25179.59765625,36812
2024-05-08,25227.732328108825,25523.793533523138,24946.44668454082,25442.142578125,31956
2024-05-09,25482.002475287994,25501.187468138192,25204.53368245918,25283.802734375,31751
2024-05-10,25382.206634517024,25613.323136531926,25161.103818911663,25442.935546875,24366
2024-05-13,25579.068003807202,25901.748443060496,25374.324815417523,25771.3671875,55302
2024-05-14,25828.378260633654,26212.035488638707,25411.951432631115,25803.4921875,84461
2024-05-15,26572.047861113482,26596.635711831215,25427.617707080033,25599.98828125,224481
2024-05-16,25875.375491132036,26001.88954064196,25288.014975560465,25467.078125,51248
2024-05-17,25491.322255599633,26119.28363655539,25249.595612043446,26082.00390625,32325
2024-05-21,25897.78285873617,26076.251500182283,25422.11435465965,25613.669921875,55405
2024-05-22,25729.22917923865,25729.22917923865,25303.284408336116,25460.484375,37478
2024-05-23,25631.071574926787,25631.071574926787,25208.746136333873,25458.453125,73090
2024-05-24,25431.877883476624,25531.027119817918,25188.863492505814,25239.875,30382
2024-05-27,25283.057851239668,25283.057851239668,25040.240959319548,25198.978515625,43246
2024-05-28,25273.09237956765,25506.19380541406,25196.54993649114,25416.5625,19032
2024-05-29,25235.465239604087,25283.056876076702,24971.08339677272,25110.091796875,39946
2024-05-30,25106.820139019695,25106.820139019695,24489.962712967794,24849.130859375,40445
2024-05-31,25012.679006786595,25208.69629541232,24395.12636662197,24470.62890625,75751
2024-06-03,24985.61108463309,25407.293620914956,24874.662686205516,25093.931640625,42209
2024-06-04,25134.333878022233,25134.43263996656,23498.37131791428,24671.109375,77396
2024-06-05,24980.603922579525,25382.208746113265,24650.48725960422,25264.271484375,24620
2024-06-06,25337.589675569263,25579.51383447511,25218.610581025405,25418.1484375,32684
2024-06-07,25481.35612896654,26026.676979975553,25294.161578598512,25855.64453125,77513
2024-06-10,26072.28446360816,27216.466706953302,25856.139117811592,27007.955078125,68197
2024-06-11,27007.95511607781,27057.82795907046,26588.553825250154,26833.6015625,41867
2024-06-12,26661.330263516993,27484.66596650888,26661.330263516993,27304.611328125,44979
2024-06-13,27270.008368724026,27389.978955279275,26955.110753629506,27256.87109375,29976
2024-06-14,27257.118605427047,27786.575567170818,27188.159531779984,27303.71875,37314
2024-06-18,27446.494424169105,27464.242526599548,27031.306954328746,27228.46484375,28615
2024-06-19,27246.212063877778,27520.90581709468,26855.76156908672,27209.923828125,35730
2024-06-20,27256.126911860334,27530.67155314148,27111.21990585477,27462.802734375,30646
2024-06-21,27613.063289721016,27613.063289721016,26991.943651475412,27170.66015625,59054
2024-06-24,27166.943527330142,27308.52748753563,26855.81242136575,27086.384765625,34949
2024-06-25,27166.891150342013,27346.351270714713,26877.0287410086,26985.994140625,40713
2024-06-26,26923.976542883072,27951.162685340332,26855.8114393175,27264.951171875,58935
2024-06-27,27246.211384614995,28001.728599865237,27245.913162289013,27595.662109375,65372
2024-06-28,27613.066134441327,27893.06400383882,27475.34743884248,27633.29296875,38614
2024-07-01,27755.84037848262,28371.50685696974,27513.916214292087,28112.1328125,59357
2024-07-02,28112.181772184074,28284.602692572877,27372.776294612566,27462.109375,21261
2024-07-03,27661.649035983377,27661.649035983377,27053.765376403113,27150.931640625,68891
2024-07-04,27313.63584411276,27320.47752977827,26938.85167288165,27225.443359375,40849
2024-07-05,27211.508954362544,27339.312712195046,27065.36258710553,27294.49609375,16956
2024-07-08,27275.95955639842,27315.2222733654,26722.6563742904,26961.904296875,21059
2024-07-09,27107.403262082826,27613.06440559644,26975.534767793983,27539.9921875,32653
2024-07-10,27539.991320461773,27730.009291065435,27091.83675247655,27668.041015625,42280
2024-07-11,27640.628431134028,27762.7795238689,27365.38858344398,27536.322265625,14648
2024-07-12,27554.567069869852,27647.767361495477,27232.33201903657,27430.134765625,17752
2024-07-15,27320.57501552176,27598.88617729486,26582.95496694262,27381.8984375,65384
2024-07-16,27510.93959938641,28439.174008872982,27412.235756446975,27669.380859375,99512
2024-07-18,27563.49118662563,27957.113704650463,27436.777671962744,27822.865234375,30733
2024-07-19,27615.04790105004,27759.90456165665,26877.327164117953,27052.029296875,46732
2024-07-22,26975.633658351348,27754.847956598343,26771.287453152996,27682.271484375,30476
2024-07-23,27618.88754588896,28208.99650607953,27424.617734124833,27977.720703125,90200
2024-07-24,27787.776837959245,27915.83287060067,27072.642580971486,27371.521484375,40236
2024-07-25,27319.809923635876,27406.736752093006,27021.82553181722,27304.3125,20756
2024-07-26,27469.871947962107,27687.4373870639,27141.486441715086,27386.173828125,25287
2024-07-29,27617.896091333558,27617.896091333558,26977.12116403463,27059.478515625,75146
2024-07-30,27234.97058101617,27309.925566396498,26783.496311191942,27135.42578125,54585
2024-07-31,27181.274027730546,27631.20767751196,27133.390539754586,27558.734375,51103
2024-08-01,27642.733414562026,27717.04421618987,27307.991368626674,27586.603515625,29621
2024-08-02,27375.047499242788,27613.92164974302,26875.390920821337,27116.55078125,39746
2024-08-05,26823.136613210256,26872.710131535696,26203.274571201473,26659.01953125,75142
2024-08-06,26768.497116221617,26915.12987621086,25839.62182196787,25930.373046875,155613
2024-08-07,25929.032130543263,26520.084138551323,24802.460389698972,24934.19140625,325580
2024-08-08,24885.908937977278,24885.908937977278,23870.056417951528,23985.248046875,251869
2024-08-09,24359.18243934898,24414.020072494393,23693.769226001677,24137.443359375,100935
2024-08-12,24150.7575196596,24296.19891557765,23851.182044635632,24248.462890625,96808
2024-08-13,24339.51327984162,24348.702687916662,23981.921900664714,24047.388671875,41826
